44041116+18316898j, -15280866+25968928j, -30990341+30546917j, 12704360+-7536642j, -37310920+44298535j, -27617617+-9117367j, -28602864+-4609270j, 18771671+-4844173j, 22633355+-13699459j, -19759328+-19034172j, 29471915+26726814j, 12133999+-13348017j, -8657382+1853612j, 32708073+4015579j, -37827176+9264006j, -25493044+8462048j, 
-16247053+45084811j, -16975350+9521495j, -17298755+-1409989j, 5964737+-24834117j, -5688026+45956259j, -1902364+-31001025j, -4909940+-22739269j, 17195988+-697361j, -34323635+-25819908j, 14809435+-28201036j, 17217712+-11939101j, 9936616+21122653j, 43250387+-11847112j, -24983573+-16284136j, 861331+17361288j, -17858243+5514907j, 
-2976060+-14689415j, -11311012+18276935j, -10307547+-20610856j, 2216115+944050j, -28985346+-49035375j, -8381238+-7700476j, 16147655+33545912j, 13564340+19441305j, -11148763+14893760j, 8566235+41660831j, 23536240+-30268194j, -19426016+-46503804j, 19667463+35328635j, 5690679+53172096j, -29181275+-23150376j, -2823320+4815080j, 
-4274070+46168839j, 3589520+53095914j, 8758790+-34281811j, -9796827+-17486146j, -53523561+32343840j, -12662345+604742j, -11774867+6695174j, -7410433+606637j, 35125047+23388229j, -10583446+-8148377j, -39704580+-9109615j, 22392747+-9043187j, 29181124+-37676739j, -34978106+8659128j, 30517110+-5671959j, 5593890+6455434j, 
-1953965+-7657444j, 12339911+-5289153j, 13821229+-3971248j, 5714268+8186626j, -22051152+15321838j, -573160+13059414j, 23518678+-8514068j, -34400322+26235768j, -2184696+11005371j, 3571464+18548091j, 24899273+13552125j, -10347848+-3517081j, 38330381+28223352j, 2968055+21068218j, -3600820+-24618244j, 4148734+-10972512j, 
13056848+6076342j, 44071059+1542681j, -15954950+31632629j, -32980244+-14704436j, -11295786+17856807j, -11877680+11924254j, -26772463+-4325155j, -9345982+-7895797j, -20154324+-13357620j, -43744238+-9431597j, 8179366+15144763j, -15525477+-18847689j, 8450878+-12282178j, -22363462+-12505434j, 9022815+36361657j, -5783654+8508935j, 
-9528322+3665242j, 18413503+34761566j, -3636688+20519385j, 959563+-35254761j, -27928981+8624084j, -4645969+6313788j, -10033945+-13621278j, 5514987+11498139j, 36702703+9609322j, 28311515+-26484954j, -101189+-10937712j, 25006389+19441368j, 15765400+20438568j, -18046028+-19295923j, 1215815+-15940458j, -9549346+14098390j, 
-27495268+-23943103j, -9978760+21190203j, 15418291+-22560616j, 130348+8109446j, -1681633+-45173647j, 2921659+1281296j, 17572743+-596574j, -19090767+392729j, 20925480+-2509242j, 3754012+-33969084j, -8480000+3380590j, 22207252+-3673747j, 17244521+17833528j, -12520518+-2233461j, -24593396+6781644j, -5067882+25384594j, 
34972520+3883515j, 27942047+-353907j, 16217957+-13322605j, 3239050+-29639003j, 17595284+-7182722j, -10598690+-40246828j, 30396896+4046313j, -8844293+11254054j, 14738994+-42851225j, -11155972+6019413j, -26858645+-34314920j, 45996246+-59116791j, 20565892+19064273j, 9336962+28309178j, -18874458+-34219977j, 45364142+18959568j, 
-1379440+-894874j, 28889000+-13366024j, -41916959+-35205156j, -12536001+13808941j, 20045978+-14149597j, -5134098+-4148503j, 28518626+19362707j, 31696826+9134575j, 4042851+-1076551j, 3060653+48406436j, 6543305+9642678j, 36466342+-10785350j, -34911890+4469143j, 5333247+35127493j, 3621133+-47495205j, 45696403+-29376922j, 
-1626807+4201178j, 20834839+-22080069j, -9505605+15302800j, -150347+-12779427j, -5022179+1424010j, 23838057+-924580j, 10883792+-21368030j, -27825668+-3897496j, -25300305+6635320j, 11957465+-2737891j, -9088873+-14773888j, -8707766+7407557j, 15005366+15808832j, -22202898+-27673411j, 26854729+2894903j, -19007998+-1350722j, 
-44975480+-15605206j, 16603677+4750887j, 22230524+15601451j, -15905448+-11156409j, -20564365+16780543j, 13173268+-24109903j, 33875761+4535446j, 11762401+5821040j, 13596425+-18861551j, -9220542+10626626j, -38762153+-5846345j, -32698783+-30354776j, 9439889+2691136j, 12752802+2588081j, 30028785+10073449j, 39626169+17322913j, 
-42342880+31842970j, -21475893+17259246j, 32933253+8312675j, 20255468+12218510j, -8778684+41342025j, 24991258+-3972469j, 14706864+13548702j, -38658657+-3767928j, 21657515+19719062j, 1712841+27539299j, -13582650+-7806228j, 23903539+28893683j, 6237868+11096388j, 9003556+-10573628j, 48579226+-17320899j, -3160946+-11608230j, 
21093035+-27545929j, 20637875+-21811261j, -31052276+801949j, -13024821+8478424j, -21500385+15629555j, 24746506+17435773j, -30783598+-328374j, -9071823+-10421805j, -10745265+-3001840j, -30438046+-51845761j, -1197682+31181728j, -12961907+-6093264j, 9869040+-35204515j, -23311406+-12464731j, 8434027+37829952j, -27438037+41296747j, 
7379424+71254372j, 26594487+2389106j, 22031354+32860075j, -3529316+-31518919j, -8825096+42314383j, 10229570+-31058540j, 29349677+-16826729j, 12067639+18829688j, 38588877+-3853329j, 16065013+-4880999j, -15289652+3464691j, 26682465+3813577j, 2317881+290753j, -1132360+-12930925j, 22894702+-34867980j, 18073086+-10782358j, 
15974753+-12780549j, 41756278+23388636j, 4977069+38346442j, -13050711+6931345j, 29746569+1501060j, 15630802+46255154j, -1521116+24665706j, -50687094+-54052909j, 4300790+4870698j, 1709540+-4933305j, -24307623+8624794j, -26005321+-12946969j, 8562912+34084614j, 31778407+-17974630j, -1582142+24925954j, -62559549+-1899416j, 
8659949+-25506477j, -16434782+-22826520j, 8773314+-10723438j, 23759918+7189535j, 23440952+-56926462j, 2541086+39250943j, -36145038+5408638j, 13045492+2280280j, -27566156+-10133827j, -34632953+3663429j, 35335795+-1098014j, -4656286+-43696080j, -38271169+21745941j, -15164055+-13207775j, -22621238+13885094j, 13611733+-30435551j, 
-6741939+27549235j, -18631886+-13062864j, 9964122+-33644903j, -23639982+15717941j, 1317602+30074092j, -23000670+-5758644j, -22804018+-18097859j, 6151654+-5119467j, -9262337+-13731625j, -5697765+-26714581j, 5569577+6602403j, 5215847+28910090j, 37932184+-21570370j, -4113515+12291774j, -42424149+-25980307j, -10816547+-17076377j, 
16560866+48708900j, 21040049+16019732j, -21808299+21861014j, 16579784+-35194505j, 13397599+29575862j, 1750873+-17912478j, -451248+-26643592j, 18583428+-13719689j, -8885780+3876665j, -6322077+-9777783j, 796149+-15387267j, -15063467+-105345j, 21725472+-27016566j, 49010317+-33838058j, -462344+29254039j, -10908528+-6169776j, 
-44267250+-27742576j, 18986329+240312j, 3991129+11336549j, 11523981+-16112310j, -31966752+-9915409j, 15134729+26545049j, 12267677+-13078791j, 12760756+35671662j, 19255417+-40200173j, 37599629+-5811806j, 31427924+2516314j, 373463+7613043j, 3869349+50978902j, -43130346+-26048576j, -843972+10284801j, 12581508+-1095756j, 
-15300300+915454j, 728861+6959140j, 1958145+22849905j, 1766653+5696491j, -981810+-3676635j, 4106251+-3269440j, 18772780+32932602j, -10517659+16456495j, -16779167+33044403j, -31761855+59343587j, 6791530+-27446031j, 19026862+-21137586j, -26595778+-4698077j, -3796434+42936147j, 68710710+1849695j, 43598185+1167188j, 
18282414+5341284j, 21899189+15486686j, 10003089+17821905j, -7817771+-20857355j, 9193185+7980710j, -5689129+12322296j, 10279492+-898541j, 32140456+-13240320j, 403650+-12082052j, 29651774+10184409j, -5553570+-41854287j, 3563119+12333833j, -50797070+-7379484j, -18852542+22829001j, 42363907+4057252j, 29587159+-21591603j, 
7492606+-839518j, -30517803+35138578j, -47516260+-37732972j, 9200820+18883487j, -8443206+-22092258j, -13182461+29004025j, -41666389+22833261j, -31871878+-13623742j, -46165471+15216179j, -46552311+2727159j, 3301547+38736942j, -14008003+1095284j, -15239604+-19594086j, -59421831+-5024307j, 7749248+46087820j, -25286133+15291689j, 
5581377+23261383j, 49363331+29272357j, -20083970+-26952589j, 463905+25464373j, 47982570+-12626623j, 30084650+35901160j, 21034841+21734973j, 13510511+-10741754j, -18374883+36264180j, -9316522+-18713921j, 31801286+16154393j, 11398526+38207058j, -11294026+-6123595j, -14053119+29086716j, 19388560+5259882j, -9979792+24116781j, 
26994321+-24760325j, -49393815+4342668j, 33988362+39475813j, 5606657+-16934239j, 48994380+8987248j, -31623987+-4629165j, -40557051+-20697232j, -26517867+-18449511j, -7317101+-3509035j, 22261596+-31183426j, -13335829+-20398747j, -8309634+-13946675j, -11874733+5746816j, -10245658+-39335262j, -19110521+-18473717j, -39080102+3463992j, 
-21274819+-17042027j, -1888125+-33776209j, -10276990+27549368j, 12591458+19044097j, -28470691+-8036000j, -4656085+10052323j, -3067112+-34378785j, -165737+14079199j, 3563378+47593999j, 20002584+51278484j, 32085787+-14940411j, -37547602+47531289j, -10998942+-9190043j, 31203615+-30639760j, 34578753+3782635j, 10652481+-19918069j, 
6384350+51069491j, 20096160+37193050j, -32394576+5789584j, 16558211+-35010983j, 9191648+64654036j, 7681787+-11938054j, 6420462+-5803909j, 4408693+22365839j, -7823439+-31627293j, -30207499+6827102j, 35141920+25480567j, -42518538+-19730079j, 15754147+-18268929j, -4732523+13378832j, -20452340+7215910j, 3552306+-10050115j, 
-29090134+3717023j, 14294782+-11948212j, -16672852+4516786j, 9620167+-6632085j, -22641965+-18654363j, 1234296+-16851726j, 24549513+16914674j, 15640404+24487651j, -35539924+21779048j, 20145616+85471010j, 18655091+-58798992j, -24418168+30312635j, -5908462+12346409j, 45980896+20270124j, 41583773+3384182j, 28174925+-18351493j, 
-17742822+9804546j, -16179397+-8152923j, -844723+-1361462j, -17729141+8328437j, 23106201+-4443021j, 11441332+-3082002j, 3006604+15070113j, -26311050+-21049029j, -14343068+-8187604j, -6749635+-8812654j, 7060318+23067992j, 2482922+-2178948j, 8128248+22456794j, -26477602+-11790594j, -22501695+-28391013j, -32675410+-9724655j, 
39791456+-11917590j, 4246778+-10157177j, 38917301+15193128j, -31497206+6699821j, 13357572+6642901j, -26619134+-15815022j, 5762909+-3924774j, -6047236+-16194818j, -8942624+22786640j, 28988862+14541831j, -12168610+-23668985j, -14885543+53233108j, -1087044+-9085087j, -9389092+2803278j, 42801378+3663366j, -9889315+25097036j, 
25142487+13130376j, 259940+18976899j, 15442246+-23518839j, -6006639+-43044557j, 137764+-27882517j, -16131538+-7215657j, -20348440+-15139767j, 8065270+40415198j, 11792148+-24563627j, -796809+-680065j, -15551746+7996150j, 12270444+-37630806j, 8192299+-4179670j, -45666084+-45768618j, -23981877+186531j, -4690654+-1437462j, 
8826275+-30090394j, 8404055+-18891143j, 19387605+-327851j, -17657859+14667769j, -1365918+-26719914j, 19692337+21115643j, -7952327+20699412j, -10115371+8037266j, -4118719+9349533j, -6440572+11149407j, -13862590+-509997j, -16093372+-5834101j, -24366481+-3130286j, -38025789+16160847j, 24414963+3260102j, -57465+11171833j, 
7166103+-4116308j, 27593675+27575662j, -38047014+-19594154j, -2522637+29868188j, -10723250+-12427873j, 4696427+30992447j, -9325001+48914930j, -23061179+-5042119j, -14447003+2732073j, -48647659+24677956j, 24160467+25372233j, 15638163+-31868455j, -17142077+-2823661j, -25938050+42380850j, 18792193+12884043j, 1668389+24347356j, 
28190676+-14445473j, 28198482+7883527j, -391943+2517372j, -11237862+14449369j, 6584256+40115552j, -2926656+5310482j, 12557822+41238129j, -19437788+-10041255j, -15215987+16308465j, -33033744+6974201j, 13326517+5366704j, 42695282+-16381242j, 13177177+15004856j, 30235193+41843737j, 35046924+-23084177j, 8403970+30010386j, 
-26424229+-52809197j, 3659536+-4215112j, -5662931+35743381j, -5227327+-12978974j, -46002466+-26118102j, 7156999+938638j, 46687716+18210838j, -890065+28246469j, -19281716+8103481j, 2326524+69093109j, 17226356+-11508490j, -58240040+-45509183j, -13802355+36865466j, 963059+15819224j, 36936521+29211530j, 33014966+-14045383j, 
13659790+17439365j, 7869249+58180825j, -20016747+-48621953j, 23600661+-14652124j, -18102635+53296470j, 5452764+27729145j, 12897113+11630907j, 14182834+16889249j, 38309241+11442100j, 14929956+10998256j, -44553207+-16584441j, 15856343+-28867883j, -12810786+-23408581j, -6389869+-17943222j, 4948912+-10285569j, 4470507+-8640892j, 
23163090+-210376j, -45439133+-6048064j, 31823911+2460868j, -1977204+7218825j, 6801698+2279182j, -12290885+9973679j, -14534566+-651291j, -15321968+2439924j, -29129099+25641562j, 27831807+-22000642j, -15180636+2233964j, -3082417+35326624j, -1276107+-22397492j, 2378452+-5494455j, 21177736+10448858j, -28934242+-5269568j, 
10028004+-6810527j, -41254120+3120441j, 30818359+1093938j, 21904301+2112115j, -16667903+-43428460j, -43623469+-21383038j, -132159+-26515289j, -13612125+18775038j, -2968591+-14441675j, 5457216+17788343j, 7823481+-23935723j, 3008159+-26658526j, -10724620+-2101753j, -29106263+-14504952j, -1110191+19512047j, 30957306+10354275j, 
-5798862+36705417j, 14177350+17682209j, -44510305+-30623746j, -314554+10878395j, -50909426+-15097736j, 15423760+7445815j, -15741388+843210j, 22866778+-19402745j, -24731853+27457575j, -13683181+-23541538j, -33758591+-4487563j, 5711815+-16443815j, -865595+-19230837j, -8467494+-90067j, 14860206+24053492j, -21342157+8077999j, 
-4587183+2785192j, -7941891+-6646486j, 24956428+-1968422j, 1230629+12297025j, -19940696+-6419385j, 2615413+1076169j, -14351189+8580579j, 7892517+-16913412j, 16399050+-21343694j, 3898322+5160884j, 8955082+-5849752j, -8971700+8803084j, 11933622+7867885j, 7051814+-16363462j, -15506753+24281408j, -15964519+5655015j, 
-522787+27590753j, 38993794+-14606167j, -30974683+12834332j, 6581619+8100720j, -61004267+-5165379j, 6773150+-10939289j, -34592+-9835290j, -9484774+22815511j, 13778266+7328699j, -22683469+21863026j, 1285322+46030817j, -33057999+-13836185j, -4369977+-11946165j, -7615693+1437930j, 34456019+8436619j, 17640645+18768672j, 
-19832696+35776500j, 25071910+-17661751j, -6216528+-29038828j, 17678771+6799850j, 1185768+-5025238j, 45842867+-18164373j, 50629840+11849564j, -4887272+26438786j, 7017264+-10547951j, 2022653+19641816j, 12678721+-2880474j, 14986599+-2523067j, 10784808+9635136j, 1244176+50730907j, 8845127+-37375567j, 27646410+-9674569j, 
-6261420+-42103665j, -6765177+-4734044j, -3472818+47983834j, 23256174+-20740302j, -22593898+-9423183j, 6468069+-1808078j, 22683506+-25379696j, -16030582+49607587j, 32598627+30201501j, 34479153+4390401j, 21933677+-5466636j, -67846993+-3248844j, 26913967+-6292255j, 8234974+7487699j, -25079280+1793769j, 6585510+20777579j, 
55428954+55879998j, -3080406+-13018762j, 14806474+-9992911j, -8513559+-8170642j, 36728941+12448030j, 1893096+-48202750j, -8893150+-4810703j, -6914303+9420621j, 15563420+602312j, 5534573+31281788j, 31749703+19634396j, 28188019+18837417j, 7535229+-6786881j, -20077045+-20656214j, 5954671+-33591650j, -46824607+-1319448j, 
-12056694+-8650101j, 4405942+-34461919j, 33590028+33683817j, -16169533+7518570j, -10242449+39335933j, -20662318+-10527837j, 18003562+-26854771j, 9791616+-10917622j, 9523316+-57323672j, 29821386+-4351798j, 4767260+-248277j, -21250760+-19321496j, 19166655+25419464j, 2429560+-19990501j, -24879011+-13403795j, 15540052+-9564140j, 
8888051+-42531600j, 11559829+14053244j, 10217690+-50867742j, 13903503+22046874j, 21898149+-15651766j, 4362389+60248792j, -29211007+1987868j, -7570158+19873116j, 6764383+4466018j, -20208322+-20792848j, 10376872+-21848704j, 11215669+-17447284j, 8384332+-27759381j, -1413969+-8075084j, -13874447+20812499j, -9142873+23705109j, 
21579200+-16176736j, -4402954+33165900j, -8400023+-8968699j, 10091702+20994070j, 19212075+-5156460j, -4046145+25255588j, 3684601+37451216j, -15702305+10562851j, -1119414+26379164j, -3629331+51723631j, 7582823+27710500j, 1850850+-11659753j, -40174604+23475503j, -15177061+57126972j, 23740312+-9810182j, 298030+-12007242j, 
-2197662+20584701j, 12596059+25622595j, 18012152+-50315191j, -17618967+47580337j, 9726711+3769528j, -5376752+16831363j, -2506971+52758675j, -32337493+-37551871j, -36583757+-961297j, -55307132+23935330j, 4843015+1847250j, 6143185+-1434518j, 21077852+3603721j, -8169458+55481988j, 10100380+15594732j, -4560705+14663603j, 
28590433+45131193j, 7643706+41285038j, 8181707+24556545j, 2190431+-28523998j, 8610567+6524865j, -25003143+-16810883j, -8588946+-5855466j, -34847369+10024117j, 46768481+47789070j, 9471057+15171829j, -52562279+7376351j, 45758346+-4068288j, -13280603+-27926915j, -9452375+-74061445j, 50675395+-30367349j, -13421502+20217228j, 
